n10 & n01 = 

       Equal	     Hamming	        Jaro	 JaroWinkler	 Levenshtein	      N-gram	NeedlemanWunsch2	        SMOA	   SubString
           0	          28	          63	          63	          39	          47	          31	          49	          73
         501	           0	         188	         188	         163	         181	         152	         166	         434
         505	         157	           0	           0	         154	         162	         166	         148	         414
         505	         157	           0	           0	         154	         162	         166	         148	         414
         530	         181	         203	         203	           0	         142	          93	         122	         447
         594	         255	         267	         267	         198	           0	         210	         104	         472
         536	         184	         229	         229	         107	         168	           0	         154	         459
         628	         272	         285	         285	         210	         136	         228	           0	         512
         200	          88	          99	          99	          83	          52	          81	          60	           0


n11 = 

       Equal	     Hamming	        Jaro	 JaroWinkler	 Levenshtein	      N-gram	NeedlemanWunsch2	        SMOA	   SubString
         116	          88	          53	          53	          77	          69	          85	          67	          43
          88	         589	         401	         401	         426	         408	         437	         423	         155
          53	         401	         558	         558	         404	         396	         392	         410	         144
          53	         401	         558	         558	         404	         396	         392	         410	         144
          77	         426	         404	         404	         607	         465	         514	         485	         160
          69	         408	         396	         396	         465	         663	         453	         559	         191
          85	         437	         392	         392	         514	         453	         621	         467	         162
          67	         423	         410	         410	         485	         559	         467	         695	         183
          43	         155	         144	         144	         160	         191	         162	         183	         243


n00 = 

       Equal	     Hamming	        Jaro	 JaroWinkler	 Levenshtein	      N-gram	NeedlemanWunsch2	        SMOA	   SubString
        1400	         899	         895	         895	         870	         806	         864	         772	        1200
         899	         927	         770	         770	         746	         672	         743	         655	         839
         895	         770	         958	         958	         755	         691	         729	         673	         859
         895	         770	         958	         958	         755	         691	         729	         673	         859
         870	         746	         755	         755	         909	         711	         802	         699	         826
         806	         672	         691	         691	         711	         853	         685	         717	         801
         864	         743	         729	         729	         802	         685	         895	         667	         814
         772	         655	         673	         673	         699	         717	         667	         821	         761
        1200	         839	         859	         859	         826	         801	         814	         761	        1273

