n10 & n01 = 

        Alin	         AML	  CroMatcher	DKP-AOM-Lite	     DKP-AOM	     FCA_Map	        Lily	  LogMapLite	       LPHOM	        LYAM	   OurResult	        XMap
           0	          72	          86	         405	         405	          92	         195	          46	         506	         212	        3246	         100
         917	           0	          94	        1214	        1214	         252	         396	         368	         777	         298	        4156	         203
         879	          42	           0	        1170	        1170	         249	         375	         351	         749	         298	        4104	         204
         108	          72	          80	           0	           0	          90	         190	          50	         509	         210	        2943	         100
         108	          72	          80	           0	           0	          90	         190	          50	         509	         210	        2943	         100
         769	          84	         133	        1064	        1064	           0	         323	         181	         691	         220	        4006	         135
         719	          75	         106	        1011	        1011	         170	           0	         219	         617	         234	        3940	         138
         597	          74	         109	         898	         898	          55	         246	           0	         648	         186	        3839	         107
         647	          73	          97	         947	         947	         155	         234	         238	           0	         214	        3838	         105
         829	          70	         122	        1124	        1124	         160	         327	         252	         690	           0	        4065	         142
           9	          74	          74	           3	           3	          92	         179	          51	         460	         211	           0	         101
         810	          68	         121	        1107	        1107	         168	         324	         266	         674	         235	        4048	           0

