n10 & n01 = 

       Equal	     Hamming	        Jaro	 JaroWinkler	 Levenshtein	      N-gram	NeedlemanWunsch2	        SMOA	   SubString
           0	           0	           2	           2	           0	           0	           0	          71	           0
         842	           0	          51	          51	          32	          54	          48	         258	         494
         888	          95	           0	           0	          42	          59	          60	         252	         532
         888	          95	           0	           0	          42	          59	          60	         252	         532
         966	         156	         122	         122	           0	          64	          50	         277	         593
        1041	         253	         214	         214	         139	           0	         174	         290	         636
         932	         138	         106	         106	          16	          65	           0	         276	         573
         880	         225	         175	         175	         120	          58	         153	           0	         552
         422	          74	          68	          68	          49	          17	          63	         165	           0


n11 = 

       Equal	     Hamming	        Jaro	 JaroWinkler	 Levenshtein	      N-gram	NeedlemanWunsch2	        SMOA	   SubString
         200	         200	         198	         198	         200	         200	         200	         129	         200
         200	        1042	         991	         991	        1010	         988	         994	         784	         548
         198	         991	        1086	        1086	        1044	        1027	        1026	         834	         554
         198	         991	        1086	        1086	        1044	        1027	        1026	         834	         554
         200	        1010	        1044	        1044	        1166	        1102	        1116	         889	         573
         200	         988	        1027	        1027	        1102	        1241	        1067	         951	         605
         200	         994	        1026	        1026	        1116	        1067	        1132	         856	         559
         129	         784	         834	         834	         889	         951	         856	        1009	         457
         200	         548	         554	         554	         573	         605	         559	         457	         622


n00 = 

       Equal	     Hamming	        Jaro	 JaroWinkler	 Levenshtein	      N-gram	NeedlemanWunsch2	        SMOA	   SubString
        1316	         474	         428	         428	         350	         275	         384	         436	         894
         474	         474	         379	         379	         318	         221	         336	         249	         400
         428	         379	         430	         430	         308	         216	         324	         255	         362
         428	         379	         430	         430	         308	         216	         324	         255	         362
         350	         318	         308	         308	         350	         211	         334	         230	         301
         275	         221	         216	         216	         211	         275	         210	         217	         258
         384	         336	         324	         324	         334	         210	         384	         231	         321
         436	         249	         255	         255	         230	         217	         231	         507	         342
         894	         400	         362	         362	         301	         258	         321	         342	         894

